0	139
1	172
2	174
3	166
4	199
5	222
6	246
7	236
8	280
9	276
10	254
11	339
12	340
13	317
14	335
15	344
16	375
17	410
18	422
19	420
20	418
21	432
22	493
23	477
24	510
25	499
26	558
27	574
28	590
29	596
30	626
31	608
32	672
33	679
34	700
35	718
36	720
37	710
38	758
39	810
40	814
41	823
42	805
43	857
44	866
45	940
46	994
47	972
48	1007
49	976
50	1009
51	1093
52	1072
53	1189
54	1149
55	1251
56	1260
57	1301
58	1283
59	1347
60	1370
61	1400
62	1404
63	1517
64	1522
65	1603
66	1691
67	1632
68	1787
69	1761
70	1755
71	1761
72	1954
73	1886
74	1980
75	1978
76	2007
77	2030
78	2046
79	2090
80	2146
81	2144
82	2220
83	2236
84	2289
85	2265
86	2325
87	2258
88	2365
89	2362
90	2225
91	2272
92	2303
93	2384
94	2293
95	2367
96	2222
97	2201
98	2176
99	2212
100	2189
101	2100
102	2060
103	2133
104	2041
105	1894
106	1922
107	1797
108	1902
109	1808
110	1699
111	1639
112	1636
113	1634
114	1550
115	1475
116	1393
117	1385
118	1342
119	1305
120	1249
121	1144
122	1180
123	1082
124	1133
125	1071
126	1081
127	957
128	948
129	976
130	877
131	865
132	803
133	824
134	843
135	823
136	754
137	731
138	735
139	719
140	670
141	686
142	678
143	673
144	674
145	615
146	651
147	611
148	671
149	642
150	661
151	651
152	629
153	654
154	651
155	593
156	669
157	655
158	680
159	645
160	637
161	676
162	659
163	685
164	680
165	679
166	687
167	657
168	699
169	745
170	719
171	700
172	698
173	708
174	696
175	715
176	729
177	667
178	746
179	724
180	674
181	698
182	693
183	738
184	690
185	676
186	657
187	699
188	692
189	684
190	669
191	664
192	638
193	659
194	649
195	633
196	592
197	621
198	589
199	651
200	555
201	572
202	586
203	543
204	550
205	522
206	486
207	488
208	494
209	473
210	453
211	432
212	408
213	388
214	404
215	320
216	359
217	370
218	318
219	310
220	288
221	272
222	290
223	269
224	220
225	237
226	228
227	216
228	206
229	196
230	171
231	154
232	151
233	129
234	140
235	118
236	120
237	99
238	92
239	79
240	67
241	75
242	78
243	69
244	54
245	63
246	30
247	41
248	41
249	29
250	32
251	31
252	25
253	17
254	25
255	18
